brand_code_uc,brand_descr,week_end,revenue
613954,PAPER MATE,4/28/2018,1068413.36
613954,PAPER MATE,5/5/2018,1078267.84
613954,PAPER MATE,5/12/2018,1218839.43
613954,PAPER MATE,5/19/2018,980577.82
613954,PAPER MATE,5/26/2018,860608.2
613954,PAPER MATE,6/2/2018,804801.24
613954,PAPER MATE,6/9/2018,830232.94
613954,PAPER MATE,6/16/2018,800944.19
613954,PAPER MATE,6/23/2018,776038.18
613954,PAPER MATE,6/30/2018,765853.89
613954,PAPER MATE,7/7/2018,828640.82
613954,PAPER MATE,7/14/2018,1422484.91
613954,PAPER MATE,7/21/2018,2668703.08
613954,PAPER MATE,7/28/2018,2787634.09
613954,PAPER MATE,8/4/2018,4511093.38
613954,PAPER MATE,8/11/2018,5238161.66
613954,PAPER MATE,8/18/2018,5666781.83
613954,PAPER MATE,8/25/2018,4533606.64
613954,PAPER MATE,9/1/2018,3117365.7
613954,PAPER MATE,9/8/2018,2197344.83
613954,PAPER MATE,9/15/2018,1471067.58
613954,PAPER MATE,9/22/2018,1103236.54
613954,PAPER MATE,9/29/2018,1023907.5
613954,PAPER MATE,10/6/2018,996851.35
613954,PAPER MATE,10/13/2018,948566.43
613954,PAPER MATE,10/20/2018,984380.3
613954,PAPER MATE,10/27/2018,986390.06
613954,PAPER MATE,11/3/2018,1005903.87
613954,PAPER MATE,11/10/2018,1030733.24
613954,PAPER MATE,11/17/2018,934477.2
613954,PAPER MATE,11/24/2018,806732.25
613954,PAPER MATE,12/1/2018,959371.59
613954,PAPER MATE,12/8/2018,1232122.25
613954,PAPER MATE,12/15/2018,1404449.41
613954,PAPER MATE,12/22/2018,1860713.29
613954,PAPER MATE,12/29/2018,1142286.75
615191,PEAK BLUE DEF,1/6/2018,272290.59
615191,PEAK BLUE DEF,1/13/2018,299665.59
615191,PEAK BLUE DEF,1/20/2018,308333.73
615191,PEAK BLUE DEF,1/27/2018,257464.38
615191,PEAK BLUE DEF,2/3/2018,244421.72
615191,PEAK BLUE DEF,2/10/2018,254499.67
615191,PEAK BLUE DEF,2/17/2018,248921.5
615191,PEAK BLUE DEF,2/24/2018,231989.92
615191,PEAK BLUE DEF,3/3/2018,244661.04
615191,PEAK BLUE DEF,3/10/2018,268247.97
615191,PEAK BLUE DEF,3/17/2018,269651
615191,PEAK BLUE DEF,3/24/2018,265572.91
615191,PEAK BLUE DEF,3/31/2018,267521.9
615191,PEAK BLUE DEF,4/7/2018,260614.77
615191,PEAK BLUE DEF,4/14/2018,270221.06
615191,PEAK BLUE DEF,4/21/2018,277597.69
615191,PEAK BLUE DEF,4/28/2018,273119.42
615191,PEAK BLUE DEF,5/5/2018,273609.55
615191,PEAK BLUE DEF,5/12/2018,270135.92
615191,PEAK BLUE DEF,5/19/2018,269870.7
615191,PEAK BLUE DEF,5/26/2018,268503.37
615191,PEAK BLUE DEF,6/2/2018,257978.03
615191,PEAK BLUE DEF,6/9/2018,283341.2
615191,PEAK BLUE DEF,6/16/2018,289993.38
615191,PEAK BLUE DEF,6/23/2018,284453.71
615191,PEAK BLUE DEF,6/30/2018,298721.49
615191,PEAK BLUE DEF,7/7/2018,274237.49
615191,PEAK BLUE DEF,7/14/2018,287093.6
615191,PEAK BLUE DEF,7/21/2018,288626.6
615191,PEAK BLUE DEF,7/28/2018,300192.13
615191,PEAK BLUE DEF,8/4/2018,294248.62
615191,PEAK BLUE DEF,8/11/2018,285999.18
615191,PEAK BLUE DEF,8/18/2018,287332.4
615191,PEAK BLUE DEF,8/25/2018,284175.94
615191,PEAK BLUE DEF,9/1/2018,289493.56
615191,PEAK BLUE DEF,9/8/2018,275382.25
615191,PEAK BLUE DEF,9/15/2018,300403.42
615191,PEAK BLUE DEF,9/22/2018,289585.72
615191,PEAK BLUE DEF,9/29/2018,295570.04
615191,PEAK BLUE DEF,10/6/2018,298238.58
615191,PEAK BLUE DEF,10/13/2018,301329.91
615191,PEAK BLUE DEF,10/20/2018,313785.71
615191,PEAK BLUE DEF,10/27/2018,321575.88
615191,PEAK BLUE DEF,11/3/2018,319906.21
615191,PEAK BLUE DEF,11/10/2018,315434.03
615191,PEAK BLUE DEF,11/17/2018,338421.16
615191,PEAK BLUE DEF,11/24/2018,321627.52
615191,PEAK BLUE DEF,12/1/2018,304223.58
615191,PEAK BLUE DEF,12/8/2018,331481.38
615191,PEAK BLUE DEF,12/15/2018,334837.25
615191,PEAK BLUE DEF,12/22/2018,339550.45
615191,PEAK BLUE DEF,12/29/2018,255495.38
615969,PEOPLE,1/6/2018,1086403.6
615969,PEOPLE,1/13/2018,1068597.72
615969,PEOPLE,1/20/2018,1033927.61
615969,PEOPLE,1/27/2018,1002888.38
615969,PEOPLE,2/3/2018,1028490.21
615969,PEOPLE,2/10/2018,922817.76
615969,PEOPLE,2/17/2018,780980
615969,PEOPLE,2/24/2018,796741.98
615969,PEOPLE,3/3/2018,909861.69
615969,PEOPLE,3/10/2018,870090.3
